communityname,state,population,householdsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctUrban,medIncome,PctPopUnderPov,PopDens,LemasPctOfficDrugUn,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Shermancity,TX,31601,2.54,15.73,28.57,15.16,14.26,100.0,24763,15.61,816.1,0.0,3.11,90.25,220.96,407.69,1456.49,5654.8,469.94,18.67,722.02,7599.9
SanPablocity,CA,25158,2.89,13.65,28.82,13.23,9.44,100.0,25479,19.02,9387.3,0.0,44.42,77.73,1143.81,1340,1769.39,5404.4,1591.71,74.03,2605.96,8839.53
BowlingGreencity,KY,40641,2.54,21.51,36.83,23.96,11.5,0.0,20043,23.91,1354.2,0.0,6.54,78.53,126.52,586.8,1269.58,3895.99,322.85,19.63,798.39,5508.05
PineBluffcity,AR,57140,2.74,16.51,28.17,14.68,13.38,100.0,19143,27.71,1301.5,10.81,27.26,100.51,444.61,904.55,2987.92,3424.02,880.7,78.36,1476.93,7371
NewUlmcity,MN,13132,2.53,14.0,25.03,12.83,14.57,0.0,25797,6.84,1481.2,0.0,0.0,,0,65.82,489.98,2069.62,153.58,7.31,,2720.49
Maplewoodcity,MN,30954,2.69,12.07,25.43,11.42,10.45,100.0,37856,6.22,1724.8,0.0,0.0,,79.7,109.22,667.12,4776.1,469.34,20.66,,5933.23
Enfieldtown,CT,45532,2.85,11.86,27.51,12.36,9.76,96.51,44635,2.89,1314.3,0.0,2.19,0,50.46,37.29,618.62,1987.5,508.94,15.36,89.94,3130.42
Glendalecity,CA,180038,2.62,12.04,26.68,12.37,11.54,100.0,34372,14.37,5677.3,5.88,5.02,16.72,197.91,154.42,889.74,2509.23,806.68,40.7,374.07,4246.34
Worthingtoncity,OH,14869,2.67,13.71,20.33,9.48,12.38,100.0,49851,2.35,2552.7,0.0,0.0,13.24,66.18,33.09,655.15,2739.73,119.12,26.47,112.5,3540.47
Arlingtoncity,TX,261721,2.6,14.18,32.78,15.14,4.58,100.0,35048,8.21,2716.3,7.87,2.39,49.94,242.88,477.55,1360.48,3938.78,838.8,33.18,772.77,6171.23
Plymouthcity,MN,50889,2.77,13.13,26.94,12.19,4.77,100.0,51314,3.36,1491.7,0.0,0.0,,21.41,90.6,446.39,2418.09,164.72,102.13,,3131.33
NewYorkcity,NY,7322564,2.6,13.06,27.46,13.09,11.62,100.0,29823,19.29,22878.2,6.91,26.59,38.5,1174.95,857.68,1355.37,3212.39,1536.49,60.7,2097.71,6164.95
Marinacity,CA,26436,3.34,16.16,37.22,19.09,4.13,100.0,29043,9.67,2917.9,0.0,12.89,58.03,270.79,303.03,1457.12,3526.76,322.37,32.24,644.75,5338.49
Lebanoncity,NH,12183,2.36,11.29,26.87,12.2,11.28,0.0,32221,6.07,291.4,0.0,0.0,8.07,0,137.13,516.25,4694.68,217.79,32.27,145.2,5461
Rockledgecity,FL,16023,2.63,11.91,23.09,10.33,13.65,100.0,34934,5.75,1581.4,0.0,0.0,55.52,105.48,399.71,1254.65,4002.66,349.75,11.1,560.71,5618.16
Rogerscity,AR,24692,2.54,12.84,25.81,11.93,14.62,0.0,26198,8.72,1073.9,0.0,0.0,29.18,32.42,142.64,755.34,3938.79,155.61,19.45,204.23,4869.19
Bellairecity,TX,13842,2.35,8.23,18.3,6.98,13.57,100.0,45892,3.33,3697.1,0.0,6.69,13.38,160.6,167.29,997.06,2388.92,301.12,6.69,347.97,3693.79
ElCajoncity,CA,88693,2.7,13.77,30.92,15.15,9.65,100.0,28108,12.92,5943.0,0.0,8.59,45.1,260.94,579.87,1469.01,4634.68,954.64,33.29,894.51,7091.62
MosesLakecity,WA,11235,2.6,14.59,25.62,12.02,13.36,0.0,23258,15.28,1189.1,0.0,14.57,145.72,21.86,961.75,1581.06,7103.83,400.73,58.29,1143.9,9143.9
WestMemphiscity,AR,28259,2.86,16.26,28.79,13.83,9.53,100.0,22052,22.94,1900.7,0.0,25.12,86.13,434.25,179.44,707.01,2860.32,854.15,0,724.95,4421.48
Eunicecity,LA,11162,2.8,15.43,26.03,12.04,12.78,0.0,14874,38.27,2323.5,0.0,0.0,17.4,78.28,1391.67,1852.66,2583.28,278.33,8.7,1487.34,4722.97
Laredocity,TX,122899,3.84,19.93,33.12,16.79,7.32,100.0,18395,37.29,3608.7,4.26,13.75,4.58,106.72,564.37,1126.13,4089.41,680.91,52.38,689.42,5948.83
Amsterdamcity,NY,20714,2.36,11.35,23.13,11.19,21.15,0.0,22166,13.5,3353.7,0.0,0.0,14.98,14.98,19.97,639.11,1567.81,84.88,,49.93,
Gorhamtown,ME,11856,3.03,20.11,31.45,19.01,8.63,33.1,36618,4.05,225.9,0.0,0.0,0,0,16.72,284.28,568.56,66.89,0,16.72,919.73
RockSpringscity,WY,19050,2.67,15.43,26.48,11.73,8.64,0.0,34372,8.87,998.4,0.0,4.92,68.92,29.54,546.45,1048.59,4342.05,374.14,0,649.83,5764.78
Oakdalecity,CA,11961,2.71,13.37,26.84,13.03,12.98,0.0,27230,12.63,2853.3,0.0,0.0,28.91,50.6,267.46,1163.8,3628.74,368.66,93.97,346.97,5255.17
Hendersoncity,NC,15655,2.6,14.42,26.09,12.94,15.02,0.0,18499,24.07,2134.0,0.0,36.77,18.38,447.33,1268.46,3848.28,6893.8,625.04,61.28,1770.94,11428.4
Norcocity,CA,23302,4.17,14.06,30.74,14.58,4.44,100.0,51594,5.34,1641.4,0.0,4.04,16.15,117.11,472.5,1126.73,2237.3,1033.84,60.58,609.81,4458.44
Greenvillecity,MS,45226,2.95,17.15,28.12,13.63,10.96,0.0,18060,31.96,1672.6,0.0,35.96,76.4,148.31,298.88,3921.35,5912.36,417.98,128.09,559.55,10379.78
SanCarloscity,CA,26167,2.37,9.03,19.36,8.48,14.25,100.0,54658,2.73,4486.8,0.0,3.54,3.54,85.06,113.41,542.25,2076.84,191.38,0,205.56,2810.46
SanAngelocity,TX,84474,2.76,16.42,29.95,16.25,11.57,100.0,23534,18.5,1702.6,11.61,8.85,47.57,43.14,412.63,931.46,3687.11,192.49,,512.19,
Barbertoncity,OH,27623,2.49,13.24,25.31,12.11,15.24,100.0,21688,16.93,3513.5,0.0,0.0,25.08,78.84,630.69,738.19,3547.62,318.93,68.09,734.61,4672.83
Pontiaccity,MI,71166,2.87,16.56,32.21,16.08,7.82,100.0,21962,26.67,3434.7,10.69,27.27,,607.12,2038.09,2109.86,2818.88,1254.43,86.12,,6269.29
Suffolkcity,VA,52141,2.82,13.7,25.39,11.57,11.94,74.94,26125,17.28,125.8,0.0,16.22,66.7,288.42,547.99,1164.49,3558.36,457.86,46.87,919.33,5227.58
Martinsvillecity,VA,16162,2.36,12.16,22.94,10.7,17.94,0.0,22446,15.61,1423.7,0.0,12.52,43.81,137.7,488.2,1026.48,6133.82,337.99,56.33,682.23,7554.61
Bricktownship,NJ,66473,2.66,12.06,23.58,10.75,15.97,100.0,38742,3.74,2441.0,0.0,2.92,13.15,40.9,74.5,606.2,1773.32,143.15,20.45,131.47,2543.13
LagunaBeachcity,CA,23170,2.09,8.08,20.23,9.15,12.36,100.0,53419,6.14,2575.6,0.0,0.0,20.8,91.5,682.11,1713.6,3635.15,578.13,12.48,794.41,5939.36
Robstowncity,TX,12849,3.59,18.8,30.03,14.87,10.44,0.0,16180,37.04,1345.2,0.0,7.38,7.38,22.15,383.99,2230.1,2392.56,413.53,59.08,420.91,5095.26
Wyomingcity,MI,63891,2.64,13.2,30.39,13.67,9.04,100.0,31103,7.07,2539.0,0.0,1.55,,180.07,377.21,970.18,3469.37,409.8,20.18,,4869.53
Hastingscity,MN,15440,2.86,13.92,27.4,12.29,8.39,0.0,36091,5.0,1641.9,0.0,0.0,,12.1,96.82,726.17,2232.98,242.06,6.05,,3207.26
Paragouldcity,AR,18540,2.49,14.13,25.52,12.37,15.18,0.0,19985,18.82,616.9,0.0,4.65,41.81,9.29,37.16,622.47,2331.96,162.59,4.65,92.91,3121.66
BeverlyHillscity,CA,31971,2.2,11.38,22.12,10.53,17.88,100.0,54348,6.6,5437.2,4.76,3.0,24.03,843.97,216.25,1417.63,5271.06,663.76,42.05,1087.25,7394.5
UniversityHeightscity,OH,14790,2.87,20.62,30.27,20.39,14.02,100.0,43376,2.9,7812.2,0.0,0.0,13.97,97.77,125.71,432.99,1298.97,216.5,0,237.45,1948.46
Marioncity,OH,34075,2.59,14.23,26.63,12.85,11.68,0.0,22439,16.85,4102.3,0.0,2.88,46.03,106.44,57.53,1688.58,4409.86,296.29,8.63,212.87,6403.36
Toledocity,OH,332943,2.54,14.78,28.65,14.52,12.25,100.0,24819,19.09,3988.5,4.39,13.89,110.19,492.02,368.86,1698.29,4707.51,1394.26,110.19,984.96,7910.25
Philadelphiacity,PA,1585577,2.63,13.92,28.02,14.12,13.74,100.0,24603,20.27,11326.0,4.19,28.7,51.31,753.74,445.86,988.14,2561.1,1554.73,149.17,1279.6,5253.14
Newtoncity,MA,82585,2.8,14.34,28.52,15.99,12.95,100.0,59719,4.33,4413.0,0.0,1.17,12.82,31.46,210.9,558.12,1709.31,288.96,0,256.34,2556.39
OrmondBeachcity,FL,29721,2.34,10.52,18.8,9.27,22.59,100.0,32704,6.72,1137.7,0.0,0.0,31.02,74.45,37.23,908.95,2940.9,241.97,0,142.7,4091.83
Lynchburgcity,VA,66049,2.63,17.79,29.84,18.19,14.33,100.0,23726,16.45,1290.5,5.8,4.47,67,159.32,522.63,833.83,3448.48,273.97,74.45,753.42,4630.73
Clintoncity,MS,21847,2.92,17.83,30.86,16.52,7.45,100.0,36770,9.48,885.5,0.0,8.76,0,61.34,52.58,740.51,1906.06,52.58,21.91,122.69,2721.06
Andersoncity,SC,26184,2.49,14.9,26.78,14.23,17.55,100.0,19433,19.89,2042.4,0.0,26.85,50.34,449.74,1322.37,1906.36,4098,459.81,10.07,1849.3,6474.24
Mesquitecity,TX,101484,2.83,14.14,28.92,12.52,4.73,100.0,35934,7.73,2286.9,5.62,4.32,28.5,118.34,415.48,,4475.25,657.34,80.33,566.64,
ParkForestvillage,IL,24656,2.7,13.67,26.55,11.62,9.97,100.0,36995,4.89,4826.9,0.0,7.89,,98.58,118.29,488.94,2062.22,445.57,15.77,,3012.5
ChippewaFallscity,WI,12727,2.49,11.95,25.43,11.89,14.93,100.0,23056,11.12,1249.9,0.0,0.0,14.83,7.42,29.66,370.81,2862.65,111.24,29.66,51.91,3374.37
Beavercreekcity,OH,33626,2.88,14.91,23.52,11.5,8.14,100.0,49143,3.51,1260.7,0.0,0.0,7.91,52.76,34.3,527.63,2717.32,184.67,68.59,94.97,3498.22
Keenecity,NH,22430,2.67,19.96,32.9,21.18,12.62,0.0,31235,8.06,580.3,0.0,0.0,102.18,17.77,302.1,688.61,3709.63,106.62,62.2,422.05,4567.06
Springfieldtownship,OH,13352,2.82,13.91,21.82,10.96,14.84,73.6,32713,8.79,369.6,0.0,0.0,37.91,96.04,318.45,818.86,2446.48,90.98,32.86,452.4,3389.19
Swissvaleborough,PA,10637,2.16,9.99,23.83,10.25,18.45,100.0,23773,12.53,8564.4,0.0,18.94,47.34,170.42,170.42,615.41,1893.58,1145.62,85.21,407.12,3739.82
Knoxvillecity,TN,165121,2.36,16.31,32.25,18.75,13.77,100.0,19923,20.8,2063.3,10.26,8.14,59.32,346.59,1279.37,1638.17,3504.88,935.68,100.6,1693.42,6179.34
Kernersvilletown,NC,10836,2.28,12.64,32.02,15.39,9.09,0.0,25649,8.46,1451.0,0.0,7.46,7.46,126.74,320.58,1118.32,4518,313.13,7.46,462.24,5956.91
Bloomingtoncity,MN,86335,2.5,11.69,26.55,12.21,9.12,100.0,41736,3.7,2345.2,0.0,4.65,,75.59,119.79,831.52,4254.13,484.96,,,
ScotchPlainstownship,NJ,21160,2.79,11.38,23.62,10.91,12.65,100.0,58194,1.49,2250.1,0.0,4.61,13.82,55.27,41.45,469.79,1271.19,409.91,9.21,115.14,2160.1
Newingtontown,CT,29208,2.6,11.37,23.38,11.09,15.64,100.0,45481,1.79,2139.7,0.0,0.0,13.68,10.26,54.72,492.44,2681.08,376.17,3.42,78.65,3553.11
Moberlycity,MO,12839,2.46,14.38,25.65,12.85,16.85,0.0,20569,18.27,1227.9,0.0,7.88,63.04,39.4,874.7,740.74,3853.43,165.48,7.88,985.03,4767.53
Sandycity,UT,75058,3.86,19.8,28.26,11.74,3.14,100.0,43971,4.21,3625.3,0.0,0.0,14.89,32.06,84.74,774.07,2810,125.96,5.73,131.68,3715.75
Wheatoncity,IL,51464,2.9,15.12,26.56,13.98,8.11,100.0,52208,5.12,4486.1,0.0,0.0,,16.62,44.33,406.32,1939.24,44.33,5.54,,2395.42
WhiteLaketownship,MI,22608,2.91,14.36,26.88,12.39,6.34,82.94,42549,4.36,648.8,0.0,0.0,,12.92,262.61,675.91,2660.58,202.34,38.75,,3577.58
Chickashacity,OK,14988,2.49,13.84,25.38,12.24,16.31,0.0,18357,23.15,1057.3,0.0,26.23,72.14,98.37,937.77,1895.21,3003.48,347.56,45.9,1134.5,5292.15
Tucsoncity,AZ,405390,2.49,15.91,31.47,16.94,11.34,99.98,21748,20.16,2503.8,4.03,9.78,69.78,198.68,691.36,1636.29,7128.3,1142.94,36,969.6,9943.53
Gallowaytownship,NJ,23330,2.94,17.84,34.05,18.86,6.76,64.02,41944,4.35,249.1,0.0,4.19,20.94,41.87,184.24,1113.81,2332.3,192.61,29.31,251.24,3668.03
Sweetwatercity,TX,11967,2.62,14.86,25.11,11.97,14.7,0.0,19157,23.02,1329.7,0.0,8.19,57.36,73.75,794.82,1753.52,3695.51,245.82,40.97,934.12,5735.82
Portsmouthcity,NH,25925,2.51,11.14,31.18,13.86,10.56,100.0,30591,6.68,1602.6,0.0,0.0,148.32,66.98,162.67,818.14,3353.91,334.91,43.06,377.97,4550.02
Hulltown,MA,10466,2.76,12.65,27.85,12.66,9.99,100.0,37683,8.02,3397.6,0.0,0.0,53.92,0,835.73,943.57,907.62,161.75,26.96,889.65,2039.9
Scotttownship,PA,17118,2.29,8.93,23.8,10.63,16.44,100.0,34644,4.13,4180.8,0.0,5.74,5.74,11.49,17.23,356.12,1010.91,269.96,17.23,40.21,1654.22
Pittsfieldtownship,MI,17668,2.52,12.19,38.26,18.04,4.7,70.5,34639,9.33,606.6,0.0,0.0,,236.86,275.42,1410.16,6626.64,567.37,38.56,,8642.72
Duncanvillecity,TX,35748,2.86,16.21,26.78,12.34,6.32,100.0,41028,3.78,3057.5,0.0,0.0,51.17,150.83,263.95,1115.06,3199.74,705.67,43.09,465.96,5063.56
Mexicocity,MO,11290,2.46,12.46,22.35,10.15,19.43,0.0,23744,14.35,1098.7,0.0,8.83,8.83,26.48,105.91,661.96,1588.7,88.26,0,150.04,2338.92
NewProvidenceborough,NJ,11439,2.7,9.9,21.33,10.02,12.28,100.0,62420,2.45,3001.1,0.0,0.0,0,24.78,24.78,99.12,768.21,148.69,16.52,49.56,1032.55
Barnstabletown,MA,40949,2.47,10.8,21.74,10.33,18.13,83.39,33411,6.78,658.2,0.0,4.67,51.39,67.74,1688.82,1422.53,1555.67,298.99,0,1812.62,3277.2
Rutherfordborough,NJ,17790,2.66,13.83,26.56,14.04,14.38,100.0,46499,3.68,6118.4,0.0,0.0,11.23,28.07,89.83,280.71,1381.09,421.06,11.23,129.13,2094.09
Portlandcity,OR,437319,2.34,11.86,25.57,12.29,12.83,100.0,25592,14.53,3386.2,4.81,12.65,104.44,502.59,1221.7,1710.56,5890.68,1844.43,131.7,1841.38,9577.37
Manassascity,VA,27957,2.95,13.21,31.92,14.16,4.39,100.0,46674,3.79,2695.4,0.0,0.0,31.06,170.84,99.4,437.98,3314.39,267.14,18.64,301.31,4038.14
Torrancecity,CA,133107,2.53,11.6,25.37,11.61,10.78,100.0,47204,5.15,6260.9,4.12,8.64,21.6,309.54,280.75,1138.83,2948.59,1226.66,38.87,620.53,5352.95
SouthJordancity,UT,12220,4.32,21.23,28.04,12.06,3.71,100.0,43804,3.21,585.8,0.0,0.0,11.57,17.35,161.92,728.66,2307.43,266.02,0,190.84,3302.11
RedwoodCitycity,CA,66072,2.59,11.09,27.2,12.24,10.46,100.0,42962,8.3,3349.1,0.0,4.4,22.02,155.59,544.58,753.02,2753.72,664.94,2.94,726.59,4174.62
Lancastertownship,PA,13187,2.47,10.16,23.25,10.96,18.77,97.79,35855,6.27,2104.5,0.0,0.0,0,52.19,22.37,589.02,2288.99,283.33,22.37,74.56,3183.72
Algonquinvillage,IL,11663,3.01,11.76,23.99,9.12,4.82,100.0,53665,1.65,2148.7,0.0,0.0,,15.21,53.23,349.81,1528.52,38.02,45.63,,1961.98
Sebastiancity,FL,10205,2.46,9.62,18.03,7.64,23.89,0.0,26654,6.77,785.2,0.0,0.0,17,8.5,314.47,1283.36,2354.24,101.99,0,339.96,3739.59
GrandForkscity,ND,49425,2.67,20.6,38.87,24.1,7.87,100.0,25456,14.48,3304.7,0.0,0.0,37.7,27.78,55.55,464.26,4368.79,386.88,27.78,121.02,5247.7
NewHaventown,CT,130474,2.66,17.06,34.55,19.17,10.81,100.0,25811,21.29,6679.9,3.08,18.39,108.69,1035.08,964.85,2856.93,6453.8,1566,112.04,2127.02,10988.76
Westwegocity,LA,11218,2.66,14.22,27.88,13.45,11.26,100.0,18095,23.81,3399.4,0.0,0.0,36.38,309.2,463.81,1291.38,4001.46,1309.57,18.19,809.39,6620.59
Doltonvillage,IL,23930,2.87,14.0,24.66,11.79,12.41,100.0,36724,4.93,5104.5,0.0,0.0,,313.81,152.88,864.98,4180.08,1275.35,4.02,,6324.43
Munstertown,IN,19949,2.76,12.94,20.71,10.25,15.13,100.0,48483,1.27,2553.6,0.0,14.58,9.72,29.15,145.76,286.66,2419.59,281.8,4.86,199.2,2992.91
Newberrytown,SC,10542,2.67,17.69,29.26,16.71,16.07,0.0,19063,25.22,1633.9,0.0,0.0,47.14,141.42,1338.74,773.07,4383.9,150.84,9.43,1527.29,5317.24
NorthTonawandacity,NY,34989,2.57,12.76,24.82,11.74,13.45,100.0,29576,6.07,3344.0,0.0,3.04,3.04,27.38,51.71,538.42,1892.07,130.8,9.13,85.17,2570.42
Redlandscity,CA,60394,2.75,14.97,27.56,13.53,10.33,100.0,37073,8.98,2398.1,0.0,7.71,32.38,231.3,456.44,1503.47,2498.07,949.88,24.67,727.83,4976.1
Avondalecity,AZ,16169,3.29,17.0,30.79,14.96,6.51,0.0,24292,28.22,705.2,0.0,4.68,42.11,107.61,626.93,2811.83,3714.79,664.36,74.86,781.32,7265.84
Lafayettecity,CO,14548,2.7,11.14,24.93,9.09,5.29,0.0,34182,8.43,2035.3,0.0,0.0,0,33.89,333.24,626.94,3061.28,158.15,39.54,367.13,3885.91
Oshkoshcity,WI,55006,2.62,18.61,34.4,21.34,12.2,100.0,25168,12.63,2959.7,0.0,8.82,33.52,12.35,100.56,845.07,4631.1,197.59,17.64,155.25,5691.4
Tukwilacity,WA,11874,2.11,10.54,30.87,14.08,8.16,100.0,30141,9.33,1404.9,0.0,23.46,320.61,547.39,742.88,2353.77,19401,2252.11,109.48,1634.34,24116.36
Dublincity,CA,23229,3.42,12.28,31.36,14.01,3.15,100.0,53710,4.23,2618.2,0.0,0.0,3.81,60.9,186.52,456.78,1865.17,232.2,7.61,251.23,2561.76
Breacity,CA,32873,2.69,13.3,27.95,13.44,8.62,100.0,51253,3.55,3178.0,0.0,8.61,14.35,146.36,198.01,886.76,4364.92,637.09,45.92,367.33,5934.68
NorthAugustacity,SC,15351,2.45,13.39,28.11,12.4,11.49,100.0,32877,9.28,904.5,0.0,0.0,16.99,101.92,441.65,962.57,2831.1,419,5.66,560.56,4218.33
Tallahasseecity,FL,124773,2.47,23.68,42.67,28.84,7.94,100.0,23453,22.32,1903.4,6.6,6.63,100.91,581.91,1292,2924.3,7882.35,1521.08,22.1,1981.45,12349.83
Princetonborough,NJ,12016,3.68,35.5,53.13,43.59,9.15,0.0,43092,9.64,6306.9,0.0,0.0,0,33.55,50.33,813.69,4085.23,134.22,8.39,83.89,5041.52
Menomoniecity,WI,13547,3.13,31.69,52.12,42.5,9.81,0.0,21392,28.82,1161.2,0.0,0.0,13.29,13.29,13.29,717.66,5229.58,232.57,19.93,39.87,6199.75
Sturgiscity,MI,10130,2.56,13.6,26.4,11.91,14.14,0.0,23642,11.86,1925.9,0.0,0.0,,19.08,200.38,543.89,2958.02,152.67,19.08,,3673.66
Alpharettacity,GA,13002,2.47,11.05,27.67,11.56,6.1,98.55,44335,3.73,659.9,0.0,0.0,0,0,60.9,445.03,1592.73,206.12,0,60.9,2243.88
Jeffersontownship,NJ,17825,2.82,12.38,24.91,11.1,7.36,44.04,48889,2.43,422.4,0.0,0.0,0,5.42,64.99,438.67,812.35,86.65,10.83,70.4,1348.5
StevensPointcity,WI,23006,2.79,25.97,45.62,33.52,11.04,0.0,22194,21.61,1660.1,0.0,4.66,41.98,0,195.9,732.28,5513.06,144.59,46.64,242.54,6436.57
Woodlandcity,CA,39802,2.8,13.77,26.89,12.18,9.84,0.0,31671,9.59,4187.9,0.0,4.65,67.42,74.4,427.78,1122.92,2371.38,692.81,109.27,574.24,4296.38
NorthBrunswicktownship,NJ,31287,2.71,13.41,29.96,14.37,8.64,100.0,49900,2.67,2508.1,0.0,0.0,21.47,128.85,138.05,791.48,2294.69,536.86,24.54,288.37,3647.57
Springfieldcity,OH,70487,2.59,16.05,28.26,15.37,13.59,100.0,21407,20.87,3485.1,5.94,8.49,83.45,294.21,1111.77,1362.13,5725.76,646.41,8.49,1497.92,7742.79
Richfieldcity,MN,35710,2.3,10.55,26.37,12.16,15.75,100.0,32405,5.55,5009.5,0.0,0.0,,112.22,198.54,1070.38,3239.91,480.52,14.39,,4805.2
Corsicanacity,TX,22911,2.67,15.84,27.12,14.35,15.63,0.0,21238,21.04,1062.7,0.0,0.0,119.98,162.83,398.51,1641.17,5257.75,252.82,89.99,681.32,7241.72
Wabashcity,IN,12127,2.58,13.14,25.76,12.72,13.9,0.0,25141,11.79,2204.9,0.0,0.0,16.18,8.09,169.92,590.66,1537.34,194.19,8.09,194.19,2330.29
Woostercity,OH,22191,2.58,18.31,29.7,18.07,12.58,0.0,27148,12.69,1813.5,0.0,0.0,35.33,30.91,119.24,649.18,3170.82,128.07,30.91,185.48,3978.98
LosAngelescity,CA,3485398,2.86,14.46,31.22,15.72,8.96,100.0,30925,18.86,7168.1,4.89,31.04,51.15,1108.27,1224.31,1449.19,3435.8,1724.19,147.68,2414.77,6756.86
Harrisontown,NJ,13425,2.76,12.86,28.54,12.71,12.48,100.0,33969,11.55,10587.5,0.0,0.0,37.76,249.24,294.56,1268.88,2084.59,1827.79,7.55,581.57,5188.82
Swanseatown,MA,15411,2.93,15.41,25.59,13.55,12.51,65.76,40117,4.92,644.9,0.0,0.0,0,98.5,98.5,123.12,1422.06,350.9,178.53,197,2074.61
Superiorcity,WI,27134,2.47,14.51,26.47,13.78,15.12,100.0,20905,17.1,709.0,0.0,3.6,61.22,54.02,154.85,1249.64,5052.58,360.13,104.44,273.7,6766.78
Monroecity,MI,22902,2.72,13.85,26.44,12.6,12.96,0.0,29088,15.39,2458.4,0.0,0.0,,93.43,399.2,849.37,3129.91,237.82,55.21,,4272.31
Madisontownship,OH,18749,2.9,15.51,27.09,13.29,8.64,69.9,35575,4.1,401.2,0.0,0.0,23.62,9.45,207.85,415.7,1521.09,99.2,42.51,240.92,2078.51
Seasidecity,CA,38901,3.66,20.34,40.78,24.43,5.07,100.0,28655,12.22,4254.3,0.0,18.55,27.82,374.07,664.67,673.94,2609.21,262.78,64.92,1085.11,3610.84
Grapevinecity,TX,29202,2.66,12.38,26.09,10.8,3.93,99.89,48901,4.24,901.6,0.0,0.0,42.82,40.14,208.73,561.96,2076.59,184.65,37.46,291.69,2860.66
Columbiacity,MO,69101,2.67,26.06,45.3,32.02,7.48,100.0,22059,22.42,1504.7,0.0,1.34,40.15,144.55,401.52,764.22,4727.17,222.17,40.15,587.55,5753.71
Lebanoncity,OR,10950,2.53,13.39,24.58,11.73,16.48,0.0,20711,18.76,2193.5,0.0,0.0,8.34,16.68,625.47,1109.17,7789.18,316.9,0,650.49,9215.24
WestChesterborough,PA,18041,2.95,29.24,49.7,36.51,8.79,100.0,31262,17.07,9469.3,0.0,0.0,21.17,153.46,291.04,624.4,3455.39,291.04,31.75,465.66,4402.58
Eatontownborough,NJ,13800,2.54,12.83,29.41,14.12,9.56,100.0,36864,5.14,2251.7,0.0,0.0,0,99.36,122.29,565.58,4532.25,313.36,0,221.64,5411.19
Parkersburgcity,WV,33862,2.34,12.47,23.71,11.54,17.41,100.0,20461,18.99,2926.2,0.0,9.03,36.13,54.2,117.43,1044.87,2469.14,198.74,111.41,216.8,3824.15
Spokanecity,WA,177196,2.36,13.38,26.71,13.31,14.25,100.0,22192,17.34,3058.9,6.67,6.63,57.16,180.65,550.63,1377.35,5595.64,372.53,37.76,795.08,7383.29
Durangocity,CO,12430,2.7,24.9,37.9,26.9,10.54,0.0,22996,18.78,2561.8,0.0,7.09,70.93,63.84,219.89,851.18,6554.12,248.26,0,361.75,7653.57
Aberdeencity,WA,16565,2.38,13.22,24.76,12.02,14.92,0.0,21762,18.3,1510.9,0.0,5.84,163.47,116.76,239.36,1155.93,7204.16,245.2,157.63,525.42,8762.92
